"","Symbol","TOT.RTRN","SECTOR"
"1","ETSY",85.01,"Miscellaneous"
"2","LOPE",77.4,"Consumer Services"
"3","LOGI",71.99,"Technology"
"4","UBNT",71.47,"Technology"
"5","SPLK",67.13,"Technology"
"6","PODD",60.54,"Health Care"
"7","ANGI",58.01,"Consumer Services"
"8","EXEL",48.68,"Health Care"
"9","WB",48.37,"Technology"
"10","TTWO",46.78,"Technology"
"11","OKTA",45.71,"Technology"
"12","FIVE",44.33,"Consumer Services"
"13","RP",43.8800000000001,"Technology"
"14","YNDX",43.32,"Technology"
"15","BRKR",41.89,"Capital Goods"
"16","GRMN",41.11,"Capital Goods"
"17","COLM",39.13,"Consumer Non-Durables"
"18","ZBRA",38.95,"Technology"
"19","ASML",37.48,"Technology"
"20","CDNS",36.57,"Technology"
"21","LRCX",34.68,"Technology"
"22","TEAM",34.15,"Technology"
"23","NVDA",34.03,"Technology"
"24","ULTI",33.33,"Technology"
"25","ADSK",33.26,"Technology"
"26","AVGO",32.98,"Technology"
"27","TSLA",32.06,"Capital Goods"
"28","XLNX",31.75,"Technology"
"29","SSNC",31.6,"Technology"
"30","PEGA",31.58,"Technology"
"31","CGNX",31.43,"Capital Goods"
"32","MCHP",30.78,"Technology"
"33","ADI",30.72,"Technology"
"34","NFLX",30.5,"Consumer Services"
"35","EWBC",30.38,"Finance"
"36","ADBE",30.17,"Technology"
"37","MASI",30.16,"Health Care"
"38","MXIM",29.7,"Technology"
"39","SNPS",29.47,"Technology"
"40","EXAS",29.35,"Health Care"
"41","IAC",28.55,"Consumer Services"
"42","ALXN",28.2,"Health Care"
"43","NDSN",26.64,"Capital Goods"
"44","QGEN",26.49,"Health Care"
"45","IDXX",25.4300000000001,"Health Care"
"46","MRVL",24.53,"Technology"
"47","FB",23.95,"Technology"
"48","MSFT",23.74,"Technology"
"49","ISRG",23.44,"Health Care"
"50","PRAH",23.16,"Health Care"
"51","FTNT",23.15,"Technology"
"52","ROKU",22.84,"Consumer Services"
"53","MOMO",22.34,"Technology"
"54","AMRN",22.22,"Health Care"
"55","ON",22.09,"Technology"
"56","AMAT",21.75,"Technology"
"57","ACGL",21.55,"Finance"
"58","COUP",21.5,"Technology"
"59","MELI",21.11,"Miscellaneous"
"60","CSCO",20.93,"Technology"
"61","MORN",20.28,"Finance"
"62","NICE",19.47,"Technology"
"63","RYAAY",19.4699999999999,"Transportation"
"64","AZPN",19.4,"Technology"
"65","CSX",19.1600000000001,"Transportation"
"66","WIX",19,"Technology"
"67","HAS",18.75,"Consumer Non-Durables"
"68","TER",18.73,"Capital Goods"
"69","AMZN",18.57,"Consumer Services"
"70","MU",18.07,"Technology"
"71","CTXS",17.7,"Technology"
"72","FANG",17.66,"Energy"
"73","LAMR",17.45,"Consumer Services"
"74","BIIB",17.3,"Health Care"
"75","ARRS",17.26,"Technology"
"76","KLAC",16.68,"Capital Goods"
"77","ALGN",16.66,"Health Care"
"78","AAPL",16.59,"Technology"
"79","ROST",16,"Consumer Services"
"80","JD",15.67,"Consumer Services"
"81","VRSN",14.89,"Technology"
"82","TRMB",14.8,"Capital Goods"
"83","JBHT",14.67,"Transportation"
"84","MDB",14.38,"Technology"
"85","MYL",13.57,"Health Care"
"86","HTHT",13.36,"Consumer Services"
"87","STLD",13.15,"Basic Industries"
"88","PFPT",12.9500000000001,"Technology"
"89","ZION",12.7,"Finance"
"90","PYPL",12.69,"Miscellaneous"
"91","ORLY",12.41,"Consumer Services"
"92","BIDU",12.32,"Technology"
"93","DXCM",12.17,"Health Care"
"94","DISCB",12.14,"Consumer Services"
"95","AKAM",11.45,"Miscellaneous"
"96","TMUS",11.44,"Public Utilities"
"97","WWD",11.43,"Energy"
"98","WDC",11.19,"Technology"
"99","LBRDK",11.11,"Consumer Services"
"100","LBRDA",11.06,"Consumer Services"
